ID,Region_ELE4,Tamaño_ELE4,GlosaCIIU_ELE4,Basic,Mngt,CCM,Core,Cloud,Sec,Non-system,Invsuppliers,Infosearch,Custcomm,E-goverm,Non-website,Co&Good-Info,Contact-form,Orders,Payment,Orderinvent,Delivery,Aftersales,Advertising,Docexch,Recruit
101595,4,Mediana,Transporte y Almacenamiento,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108420,13,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
108344,13,Micro,Otros servicios,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105660,13,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106506,10,Mediana,Actividades de alojamiento y de servicio de comidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103890,8,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
103966,8,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104597,11,Pequeña 1,Industrias Manufactureras,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
101479,4,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101864,10,Mediana,"Agricultura , Ganadería, Silvicultura y Pesca",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108348,13,Micro,Industrias Manufactureras,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
